,인덱스,분류,주소,위도,경도
235,233.0,부속기관,"강원도 속초시 동명동 519-1외 1필지 2,3층",38.21056181997067,128.58879433277173
236,234.0,부속기관,강원도 양양군 양양읍 서문리 414 양양서문주공아파트 101동 402호,38.07491828456459,128.611882852103
237,235.0,부속기관,강원도 영월군 하송로 123-7 하송4주공아파트 406동 707호,37.17759926749013,128.45942819123607
238,236.0,부속기관,강원도 원주시 단구동 1515-10 대동빌딩 2층,37.330371251377706,127.94831586489906
239,237.0,부속기관,강원도 철원군 신철원리 959-1 960 2층,38.14243999826058,127.30747959458759
240,238.0,부속기관,강원도 춘천시 조양동 43-1 3층,37.879768379185386,127.72932405055414
241,239.0,부속기관,경기도 고양시 일산동구 장항동 898-1 금강프라자빌딩 504호,37.65025567549362,126.77777176128609
242,240.0,부속기관,경기도 고양시 일산서구 탄현동 1563-3 예일큰프라자  303호,37.69157413208432,126.7627640296326
243,241.0,부속기관,경기도 광주시 초월읍 산이리 91-4 1층일부,37.36480633948276,127.3132909860304
244,242.0,부속기관,경기도 구리시 수택동 516-28 3층,37.598522778224144,127.14461920456755
245,243.0,부속기관,경기도 구리시 왕숙천로 507 2층,37.619871892604884,127.14224108260584
246,244.0,부속기관,경기도 군포시 산본동 81-29 제상가동 208호외 6호,37.37173564432538,126.93801966313582
248,246.0,부속기관,경기도 김포시 사우동 253-3 유림회관 3층 303호,37.616595092106834,126.71572083140768
249,247.0,부속기관,경기도 김포시 월곶면 군하리 55-11 2층,37.71631482559378,126.55575795830968
250,248.0,부속기관,경기도 남양주시 화도읍 월산리 65-3번지 다동,37.65571992185935,127.33614071020419
251,249.0,부속기관,경기도 동두천시 생연동 612-23 2.3층,37.907781794321245,127.05479044681604
252,250.0,부속기관,"경기도 동두천시 지행동 695-5, 내행프라자 803호",37.8930567658243,127.0547658890753
253,251.0,부속기관,경기도 성남시 중원구 성남동 2612번지 4층,37.436834777088905,127.1426984657386
254,252.0,부속기관,경기도 수원시 장안구 영화동 446-3 2층 201호,37.286391542700855,127.00598578750285
255,253.0,부속기관,경기도 시흥시 신천로 91(신천동) 765-2번지 3층,37.43852531775634,126.78583456263955
256,254.0,부속기관,경기도 안양시 동안구 관양동 1446-1번지 3층,37.40322328588888,126.96004944281914
257,255.0,부속기관,경기도 안양시 동안구 관양동 1446-1번지 4층,37.40322328588888,126.96004944281914
258,256.0,부속기관,경기도 안양시 동안구 관양동 1452번지 2층,37.40316632182188,126.9621818543768
259,257.0,부속기관,"경기도 양주시 덕계동 418-9, 4층",37.81678935628005,127.04649603088644
260,258.0,부속기관,"경기도 양평군 양평읍 남북로75번지 1층,2층",37.489466517263004,127.50154367911377
261,259.0,부속기관,경기도 양평군 양평읍 양근리 170-5 3층 301호,37.492309805079316,127.49562841501488
262,260.0,부속기관,경기도 여주시 가남읍 태평리 268-3외 7필지 11층 제1107호,37.213860515185615,127.54211414490598
263,261.0,부속기관,경기도 여주시 대신면 대신로 295-32,37.36823885937889,127.63819051113147
264,262.0,부속기관,경기도 여주시 하동 126-19외 1필지 2층,37.298978951940235,127.62954740697475
265,263.0,부속기관,경기도 의정부시 가능동 647-30 3층(전부),37.746995237870635,127.04203629602706
266,264.0,부속기관,경기도 이천시 신하리 272 2층,37.263202188587364,127.48188019662136
267,265.0,부속기관,경기도 이천시 창전동 469-13 한솔아파트생활편익시설,37.27822310295791,127.45011560758233
269,266.0,부속기관,경기도 평택시 비전동 760-3,36.99266786461138,127.10077259894179
270,267.0,부속기관,경기도 화성시 봉담읍 동화리 600-2 쏘시엘봉담빌딩 401호,37.21693964662375,126.95992255545964
